wavelength_micron (rp/rs)^2 error
4.15467 0.0212487 0.0001869
4.16135 0.021033 0.0001867
4.16804 0.0211595 0.0001848
4.17472 0.0212425 0.0001944
4.18140 0.0212125 0.0001816
4.18808 0.0212468 0.0001892
4.19476 0.0212037 0.0001931
4.20144 0.0214852 0.0003458
4.20812 0.0215715 0.0001923
4.21479 0.021704 0.000192
4.22147 0.0215881 0.0001773
4.22815 0.0217228 0.0001784
4.23482 0.0221706 0.0001924
4.24150 0.0221868 0.0002046
4.24817 0.0220502 0.0001911
4.25484 0.0219565 0.0001907
4.26152 0.0224099 0.0002049
4.26819 0.0228638 0.0001914
4.27519 0.0224156 0.0001942
4.28213 0.0223289 0.0002029
4.28880 0.0224043 0.0001972
4.29547 0.0227125 0.0002084
4.30214 0.0223206 0.0002001
4.30880 0.0224838 0.0002315
4.31547 0.0225139 0.0002169
4.32213 0.0225836 0.000238
4.32880 0.0228101 0.0002296
4.33546 0.0228086 0.0002046
4.34213 0.0225941 0.0002203
4.34879 0.0226173 0.0002251
4.35545 0.022668 0.0002197
4.36211 0.0226192 0.0002291
4.36877 0.0227348 0.0003437
4.37543 0.0223411 0.0002144
4.38203 0.0225939 0.000224
4.38868 0.0223437 0.0002158
4.39534 0.0223742 0.0002361
4.40200 0.0225345 0.0002222
4.40865 0.0222379 0.000203
4.41531 0.0225957 0.0002408
4.42196 0.022566 0.0002199
4.42861 0.0224781 0.0002141
4.43527 0.022462 0.0002186
4.44192 0.022466 0.0002346
4.44857 0.0222329 0.0002386
4.45522 0.0218791 0.0002378
4.46183 0.0222628 0.0002869
4.46845 0.022194 0.000213
4.47510 0.0223244 0.0002397
4.48175 0.0222621 0.0002429
4.48839 0.0218286 0.0002263
4.49504 0.0217887 0.0002613
4.50168 0.0218478 0.0002342
4.50832 0.0218333 0.0002537
4.51497 0.0219783 0.0002603
4.52161 0.0214813 0.0002533
4.52825 0.0217128 0.0002353
4.53489 0.0215714 0.0002437
4.54146 0.0215747 0.0002384
4.54810 0.0218411 0.000255
4.55474 0.0220496 0.0002561
4.56137 0.0219131 0.000254
4.56801 0.0221067 0.0002483
4.57465 0.0220058 0.0002597
4.58128 0.0215478 0.0002355
4.58791 0.0217241 0.0002458
4.59455 0.0213747 0.0002428
4.60118 0.0212244 0.0002483
4.60774 0.0213635 0.0002432
4.61437 0.0212774 0.0002484
4.62100 0.021302 0.0002696
4.62763 0.0217618 0.0002423
4.63426 0.0215535 0.0002567
4.64088 0.0214123 0.0002663
4.64751 0.0219373 0.0002617
4.65413 0.0215604 0.0002714
4.66075 0.0212766 0.000278
4.66738 0.0215316 0.0002524
4.67394 0.0221092 0.0002721
4.68056 0.0210166 0.0002543
4.68718 0.0214415 0.0002609
4.69379 0.0214028 0.0002658
4.70041 0.0216335 0.0002763
4.70703 0.0217784 0.000265
4.71365 0.0216308 0.0002463
4.72026 0.0216238 0.0002645
4.72684 0.0216168 0.0002658
4.73342 0.0211775 0.0002851
4.74004 0.0214726 0.0002707
4.74665 0.0215391 0.0002886
4.75326 0.021172 0.0002724
4.75987 0.0212992 0.0002728
4.76648 0.0210959 0.0002997
4.77309 0.021497 0.0002974
4.77969 0.0216065 0.0002774
4.78623 0.021236 0.0002796
4.79284 0.0216075 0.0002645
4.79944 0.0214028 0.0002826
4.80605 0.0215937 0.0002853
4.81265 0.0217259 0.0002845
4.81925 0.02181 0.0003139
4.82585 0.0214995 0.0002781
4.83245 0.0216757 0.0002906
4.83898 0.0215053 0.0002959
4.84558 0.0216131 0.0002869
4.85218 0.0213715 0.0002998
4.85877 0.0218572 0.000311
4.86537 0.021546 0.0002932
4.87196 0.0211942 0.0002965
4.87855 0.0213547 0.0003857
4.88508 0.0218595 0.0003175
4.89167 0.0213051 0.0003029
4.89826 0.0215721 0.0002981
4.90485 0.0214755 0.0002844
4.91143 0.021486 0.0002884
4.91802 0.0216437 0.0003097
4.92460 0.0218546 0.0002996
4.93112 0.0217401 0.0003056
4.93771 0.0212768 0.0003346
4.94429 0.0212031 0.0003258
4.95087 0.0214393 0.0002874
4.95745 0.0217316 0.0003008
4.96403 0.0217372 0.0003018
4.97061 0.0217863 0.0003143
4.97745 0.0217097 0.0003146
4.98435 0.021226 0.0002888
4.99093 0.0212664 0.0003339
4.99750 0.0209463 0.0003355
5.00407 0.0213677 0.0003114
5.01031 0.0210977 0.0003112
5.01688 0.0217386 0.0003223
5.02372 0.0218308 0.0003257
5.03029 0.0215004 0.0003283
5.03685 0.0211891 0.000329
5.04342 0.0210663 0.0003244
5.04998 0.0210085 0.0004022
5.05655 0.0213619 0.0003131
5.06304 0.0216811 0.0003184
5.06961 0.0211347 0.0003156
5.07617 0.0215737 0.0003011
5.08207 0.0214591 0.0003535
5.08797 0.0207711 0.0003451
5.09486 0.0211042 0.0003422
5.10168 0.0209816 0.0002969
5.10823 0.0212272 0.0003059
5.11511 0.0210243 0.0002887
5.12199 0.0213764 0.0003188
5.12854 0.0210065 0.0005724
5.13542 0.0216063 0.0003336
5.14223 0.0217967 0.0003321
5.14878 0.0212275 0.0003419
5.15565 0.0207862 0.0003369
5.16252 0.020907 0.0003528
5.16907 0.021058 0.000436
